 time           v(VOUT1)      
 1.4265628e-05  5.2395884e-03 
 1.4315628e-05  5.2395884e-03 
 1.4365628e-05  5.2395884e-03 
 1.4415628e-05  5.2395884e-03 
 1.4465628e-05  5.2395884e-03 
 1.4515628e-05  5.2395884e-03 
 1.4565628e-05  5.2395884e-03 
 1.4615628e-05  5.2395884e-03 
 1.4665628e-05  5.2395884e-03 
 1.4715628e-05  5.2395884e-03 
 1.4765628e-05  5.2395884e-03 
 1.4815628e-05  5.2395884e-03 
 1.4865628e-05  5.2395884e-03 
 1.4915628e-05  5.2395884e-03 
 1.4965628e-05  5.2395884e-03 
 1.5015628e-05  5.2395884e-03 
 1.5065628e-05  5.2395884e-03 
 1.5115628e-05  5.2395884e-03 
 1.5165628e-05  5.2395884e-03 
 1.5215628e-05  5.2395884e-03 
 1.5265628e-05  5.2395884e-03 
 1.5315628e-05  5.2395884e-03 
 1.5365628e-05  5.2395884e-03 
 1.5415628e-05  5.2395884e-03 
 1.5465628e-05  5.2395884e-03 
 1.5500000e-05  5.2395884e-03 
 1.5505000e-05  5.5141447e-03 
 1.5515000e-05  6.3595793e-03 
 1.5535000e-05  9.4550682e-03 
 1.5575000e-05  3.0283958e-02 
 1.5611405e-05  8.2807216e-02 
 1.5661405e-05  1.9243409e-01 
 1.5711405e-05  3.0838637e-01 
 1.5761405e-05  4.2118416e-01 
 1.5811405e-05  5.3039762e-01 
 1.5861405e-05  6.3614890e-01 
 1.5911405e-05  7.3849684e-01 
 1.5961405e-05  8.3733913e-01 
 1.6000000e-05  9.1093079e-01 
 1.6005000e-05  9.2025356e-01 
 1.6015000e-05  9.3880922e-01 
 1.6035000e-05  9.7533700e-01 
 1.6075000e-05  1.0452098e+00 
 1.6125000e-05  1.1192929e+00 
 1.6175000e-05  1.1646943e+00 
 1.6225000e-05  1.1814691e+00 
 1.6275000e-05  1.1853446e+00 
 1.6325000e-05  1.1860557e+00 
 1.6375000e-05  1.1861813e+00 
 1.6425000e-05  1.1862032e+00 
 1.6475000e-05  1.1862063e+00 
 1.6525000e-05  1.1862068e+00 
 1.6575000e-05  1.1862069e+00 
 1.6625000e-05  1.1862069e+00 
 1.6675000e-05  1.1862069e+00 
 1.6725000e-05  1.1862069e+00 
 1.6775000e-05  1.1862069e+00 
 1.6825000e-05  1.1862069e+00 
 1.6875000e-05  1.1862069e+00 
 1.6925000e-05  1.1862069e+00 
 1.6975000e-05  1.1862069e+00 
 1.7025000e-05  1.1862069e+00 
 1.7075000e-05  1.1862069e+00 
 1.7125000e-05  1.1862069e+00 
 1.7175000e-05  1.1862069e+00 
 1.7225000e-05  1.1862069e+00 
 1.7275000e-05  1.1862069e+00 
 1.7325000e-05  1.1862069e+00 
 1.7375000e-05  1.1862069e+00 
 1.7425000e-05  1.1862069e+00 
 1.7475000e-05  1.1862069e+00 
 1.7525000e-05  1.1862069e+00 
 1.7575000e-05  1.1862069e+00 
 1.7625000e-05  1.1862069e+00 
 1.7675000e-05  1.1862069e+00 
 1.7725000e-05  1.1862069e+00 
 1.7775000e-05  1.1862069e+00 
 1.7825000e-05  1.1862069e+00 
 1.7875000e-05  1.1862069e+00 
 1.7925000e-05  1.1862069e+00 
 1.7975000e-05  1.1862069e+00 
 1.8025000e-05  1.1862069e+00 
 1.8075000e-05  1.1862069e+00 
 1.8125000e-05  1.1862069e+00 
 1.8175000e-05  1.1862069e+00 
 1.8225000e-05  1.1862069e+00 
 1.8275000e-05  1.1862069e+00 
 1.8325000e-05  1.1862069e+00 
 1.8375000e-05  1.1862069e+00 
 1.8425000e-05  1.1862069e+00 
 1.8475000e-05  1.1862069e+00 
 1.8525000e-05  1.1862069e+00 
 1.8575000e-05  1.1862069e+00 
 1.8625000e-05  1.1862069e+00 
 1.8675000e-05  1.1862069e+00 
 1.8725000e-05  1.1862069e+00 
 1.8775000e-05  1.1862069e+00 
 1.8825000e-05  1.1862069e+00 
 1.8875000e-05  1.1862069e+00 
 1.8925000e-05  1.1862069e+00 
 1.8975000e-05  1.1862069e+00 
 1.9025000e-05  1.1862069e+00 
 1.9075000e-05  1.1862069e+00 
 1.9125000e-05  1.1862069e+00 
 1.9175000e-05  1.1862069e+00 
 1.9225000e-05  1.1862069e+00 
 1.9275000e-05  1.1862069e+00 
 1.9325000e-05  1.1862069e+00 
 1.9375000e-05  1.1862069e+00 
 1.9425000e-05  1.1862069e+00 
 1.9475000e-05  1.1862069e+00 
