 time        v(VIN1)     time        v(VOUT1)   
 1.6405e-07  6.0000e-01  1.6405e-07  1.2000e+00 
 1.6505e-07  6.0000e-01  1.6505e-07  1.2000e+00 
 1.6605e-07  6.0000e-01  1.6605e-07  1.2000e+00 
 1.6705e-07  6.0000e-01  1.6705e-07  1.2000e+00 
 1.6805e-07  6.0000e-01  1.6805e-07  1.2000e+00 
 1.6905e-07  6.0000e-01  1.6905e-07  1.2000e+00 
 1.7005e-07  6.0000e-01  1.7005e-07  1.2000e+00 
 1.7105e-07  6.0000e-01  1.7105e-07  1.2000e+00 
 1.7205e-07  6.0000e-01  1.7205e-07  1.2000e+00 
 1.7305e-07  6.0000e-01  1.7305e-07  1.2000e+00 
 1.7405e-07  6.0000e-01  1.7405e-07  1.2000e+00 
 1.7505e-07  6.0000e-01  1.7505e-07  1.2000e+00 
 1.7605e-07  6.0000e-01  1.7605e-07  1.2000e+00 
 1.7705e-07  6.0000e-01  1.7705e-07  1.2000e+00 
 1.7805e-07  6.0000e-01  1.7805e-07  1.2000e+00 
 1.7905e-07  6.0000e-01  1.7905e-07  1.2000e+00 
 1.8005e-07  6.0000e-01  1.8005e-07  1.2000e+00 
 1.8105e-07  6.0000e-01  1.8105e-07  1.2000e+00 
 1.8205e-07  6.0000e-01  1.8205e-07  1.2000e+00 
 1.8305e-07  6.0000e-01  1.8305e-07  1.2000e+00 
 1.8405e-07  6.0000e-01  1.8405e-07  1.2000e+00 
 1.8505e-07  6.0000e-01  1.8505e-07  1.2000e+00 
 1.8605e-07  6.0000e-01  1.8605e-07  1.2000e+00 
 1.8705e-07  6.0000e-01  1.8705e-07  1.2000e+00 
 1.8805e-07  6.0000e-01  1.8805e-07  1.2000e+00 
 1.8905e-07  6.0000e-01  1.8905e-07  1.2000e+00 
 1.9005e-07  6.0000e-01  1.9005e-07  1.2000e+00 
 1.9105e-07  6.0000e-01  1.9105e-07  1.2000e+00 
 1.9205e-07  6.0000e-01  1.9205e-07  1.2000e+00 
 1.9305e-07  6.0000e-01  1.9305e-07  1.2000e+00 
 1.9405e-07  6.0000e-01  1.9405e-07  1.2000e+00 
 1.9505e-07  6.0000e-01  1.9505e-07  1.2000e+00 
 1.9605e-07  6.0000e-01  1.9605e-07  1.2000e+00 
 1.9705e-07  6.0000e-01  1.9705e-07  1.2000e+00 
 1.9805e-07  6.0000e-01  1.9805e-07  1.2000e+00 
 1.9905e-07  6.0000e-01  1.9905e-07  1.2000e+00 
 2.0005e-07  6.0000e-01  2.0005e-07  1.2000e+00 
 2.0105e-07  6.0000e-01  2.0105e-07  1.2000e+00 
 2.0205e-07  6.0000e-01  2.0205e-07  1.2000e+00 
 2.0305e-07  6.0000e-01  2.0305e-07  1.2000e+00 
 2.0405e-07  6.0000e-01  2.0405e-07  1.2000e+00 
 2.0505e-07  6.0000e-01  2.0505e-07  1.2000e+00 
 2.0605e-07  6.0000e-01  2.0605e-07  1.2000e+00 
 2.0705e-07  6.0000e-01  2.0705e-07  1.2000e+00 
 2.0805e-07  6.0000e-01  2.0805e-07  1.2000e+00 
 2.0905e-07  6.0000e-01  2.0905e-07  1.2000e+00 
 2.1005e-07  6.0000e-01  2.1005e-07  1.2000e+00 
 2.1105e-07  6.0000e-01  2.1105e-07  1.2000e+00 
 2.1205e-07  6.0000e-01  2.1205e-07  1.2000e+00 
 2.1305e-07  6.0000e-01  2.1305e-07  1.2000e+00 
 2.1405e-07  6.0000e-01  2.1405e-07  1.2000e+00 
 2.1505e-07  6.0000e-01  2.1505e-07  1.2000e+00 
 2.1605e-07  6.0000e-01  2.1605e-07  1.2000e+00 
 2.1705e-07  6.0000e-01  2.1705e-07  1.2000e+00 
 2.1805e-07  6.0000e-01  2.1805e-07  1.2000e+00 
 2.1905e-07  6.0000e-01  2.1905e-07  1.2000e+00 
 2.2005e-07  6.0000e-01  2.2005e-07  1.2000e+00 
 2.2105e-07  6.0000e-01  2.2105e-07  1.2000e+00 
 2.2205e-07  6.0000e-01  2.2205e-07  1.2000e+00 
 2.2305e-07  6.0000e-01  2.2305e-07  1.2000e+00 
 2.2405e-07  6.0000e-01  2.2405e-07  1.2000e+00 
 2.2505e-07  6.0000e-01  2.2505e-07  1.2000e+00 
 2.2605e-07  6.0000e-01  2.2605e-07  1.2000e+00 
 2.2705e-07  6.0000e-01  2.2705e-07  1.2000e+00 
 2.2805e-07  6.0000e-01  2.2805e-07  1.2000e+00 
 2.2905e-07  6.0000e-01  2.2905e-07  1.2000e+00 
 2.3005e-07  6.0000e-01  2.3005e-07  1.2000e+00 
 2.3105e-07  6.0000e-01  2.3105e-07  1.2000e+00 
 2.3205e-07  6.0000e-01  2.3205e-07  1.2000e+00 
 2.3305e-07  6.0000e-01  2.3305e-07  1.2000e+00 
 2.3405e-07  6.0000e-01  2.3405e-07  1.2000e+00 
 2.3505e-07  6.0000e-01  2.3505e-07  1.2000e+00 
 2.3605e-07  6.0000e-01  2.3605e-07  1.2000e+00 
 2.3705e-07  6.0000e-01  2.3705e-07  1.2000e+00 
 2.3805e-07  6.0000e-01  2.3805e-07  1.2000e+00 
 2.3905e-07  6.0000e-01  2.3905e-07  1.2000e+00 
 2.4005e-07  6.0000e-01  2.4005e-07  1.2000e+00 
 2.4105e-07  6.0000e-01  2.4105e-07  1.2000e+00 
 2.4205e-07  6.0000e-01  2.4205e-07  1.2000e+00 
 2.4305e-07  6.0000e-01  2.4305e-07  1.2000e+00 
 2.4405e-07  6.0000e-01  2.4405e-07  1.2000e+00 
 2.4505e-07  6.0000e-01  2.4505e-07  1.2000e+00 
 2.4605e-07  6.0000e-01  2.4605e-07  1.2000e+00 
 2.4705e-07  6.0000e-01  2.4705e-07  1.2000e+00 
 2.4805e-07  6.0000e-01  2.4805e-07  1.2000e+00 
 2.4905e-07  6.0000e-01  2.4905e-07  1.2000e+00 
 2.5005e-07  6.0000e-01  2.5005e-07  1.2000e+00 
 2.5105e-07  6.0000e-01  2.5105e-07  1.2000e+00 
 2.5205e-07  6.0000e-01  2.5205e-07  1.2000e+00 
 2.5305e-07  6.0000e-01  2.5305e-07  1.2000e+00 
 2.5405e-07  6.0000e-01  2.5405e-07  1.2000e+00 
 2.5505e-07  6.0000e-01  2.5505e-07  1.2000e+00 
 2.5605e-07  6.0000e-01  2.5605e-07  1.2000e+00 
 2.5705e-07  6.0000e-01  2.5705e-07  1.2000e+00 
 2.5805e-07  6.0000e-01  2.5805e-07  1.2000e+00 
 2.5905e-07  6.0000e-01  2.5905e-07  1.2000e+00 
 2.6005e-07  6.0000e-01  2.6005e-07  1.2000e+00 
 2.6105e-07  6.0000e-01  2.6105e-07  1.2000e+00 
 2.6205e-07  6.0000e-01  2.6205e-07  1.2000e+00 
 2.6305e-07  6.0000e-01  2.6305e-07  1.2000e+00 
 2.6405e-07  6.0000e-01  2.6405e-07  1.2000e+00 
 2.6505e-07  6.0000e-01  2.6505e-07  1.2000e+00 
 2.6605e-07  6.0000e-01  2.6605e-07  1.2000e+00 
 2.6705e-07  6.0000e-01  2.6705e-07  1.2000e+00 
 2.6805e-07  6.0000e-01  2.6805e-07  1.2000e+00 
 2.6905e-07  6.0000e-01  2.6905e-07  1.2000e+00 
 2.7005e-07  6.0000e-01  2.7005e-07  1.2000e+00 
 2.7105e-07  6.0000e-01  2.7105e-07  1.2000e+00 
 2.7205e-07  6.0000e-01  2.7205e-07  1.2000e+00 
 2.7305e-07  6.0000e-01  2.7305e-07  1.2000e+00 
 2.7405e-07  6.0000e-01  2.7405e-07  1.2000e+00 
 2.7505e-07  6.0000e-01  2.7505e-07  1.2000e+00 
 2.7605e-07  6.0000e-01  2.7605e-07  1.2000e+00 
 2.7705e-07  6.0000e-01  2.7705e-07  1.2000e+00 
 2.7805e-07  6.0000e-01  2.7805e-07  1.2000e+00 
 2.7905e-07  6.0000e-01  2.7905e-07  1.2000e+00 
 2.8005e-07  6.0000e-01  2.8005e-07  1.2000e+00 
 2.8105e-07  6.0000e-01  2.8105e-07  1.2000e+00 
 2.8205e-07  6.0000e-01  2.8205e-07  1.2000e+00 
 2.8305e-07  6.0000e-01  2.8305e-07  1.2000e+00 
 2.8405e-07  6.0000e-01  2.8405e-07  1.2000e+00 
 2.8505e-07  6.0000e-01  2.8505e-07  1.2000e+00 
 2.8605e-07  6.0000e-01  2.8605e-07  1.2000e+00 
 2.8705e-07  6.0000e-01  2.8705e-07  1.2000e+00 
 2.8805e-07  6.0000e-01  2.8805e-07  1.2000e+00 
 2.8905e-07  6.0000e-01  2.8905e-07  1.2000e+00 
 2.9005e-07  6.0000e-01  2.9005e-07  1.2000e+00 
 2.9105e-07  6.0000e-01  2.9105e-07  1.2000e+00 
 2.9205e-07  6.0000e-01  2.9205e-07  1.2000e+00 
 2.9305e-07  6.0000e-01  2.9305e-07  1.2000e+00 
 2.9405e-07  6.0000e-01  2.9405e-07  1.2000e+00 
 2.9505e-07  6.0000e-01  2.9505e-07  1.2000e+00 
