 time        v(VOUT1)    time        v(VIN1)    
 2.8520e-08  1.2000e+00  2.8520e-08  6.5000e-01 
 2.8620e-08  1.2000e+00  2.8620e-08  6.5000e-01 
 2.8720e-08  1.2000e+00  2.8720e-08  6.5000e-01 
 2.8820e-08  1.2000e+00  2.8820e-08  6.5000e-01 
 2.8920e-08  1.2000e+00  2.8920e-08  6.5000e-01 
 2.9020e-08  1.2000e+00  2.9020e-08  6.5000e-01 
 2.9120e-08  1.2000e+00  2.9120e-08  6.5000e-01 
 2.9220e-08  1.2000e+00  2.9220e-08  6.5000e-01 
 2.9320e-08  1.2000e+00  2.9320e-08  6.5000e-01 
 2.9420e-08  1.2000e+00  2.9420e-08  6.5000e-01 
 2.9520e-08  1.2000e+00  2.9520e-08  6.5000e-01 
 2.9620e-08  1.2000e+00  2.9620e-08  6.5000e-01 
 2.9720e-08  1.2000e+00  2.9720e-08  6.5000e-01 
 2.9820e-08  1.2000e+00  2.9820e-08  6.5000e-01 
 2.9920e-08  1.2000e+00  2.9920e-08  6.5000e-01 
 3.0020e-08  1.2000e+00  3.0020e-08  6.5000e-01 
 3.0120e-08  1.2000e+00  3.0120e-08  6.5000e-01 
 3.0220e-08  1.2000e+00  3.0220e-08  6.5000e-01 
 3.0320e-08  1.2000e+00  3.0320e-08  6.5000e-01 
 3.0420e-08  1.2000e+00  3.0420e-08  6.5000e-01 
 3.0520e-08  1.2000e+00  3.0520e-08  6.5000e-01 
 3.0620e-08  1.2000e+00  3.0620e-08  6.5000e-01 
 3.0720e-08  1.2000e+00  3.0720e-08  6.5000e-01 
 3.0820e-08  1.2000e+00  3.0820e-08  6.5000e-01 
 3.0920e-08  1.2000e+00  3.0920e-08  6.5000e-01 
 3.1020e-08  1.2000e+00  3.1020e-08  6.5000e-01 
 3.1120e-08  1.2000e+00  3.1120e-08  6.5000e-01 
 3.1220e-08  1.2000e+00  3.1220e-08  6.5000e-01 
 3.1320e-08  1.2000e+00  3.1320e-08  6.5000e-01 
 3.1420e-08  1.2000e+00  3.1420e-08  6.5000e-01 
 3.1520e-08  1.2000e+00  3.1520e-08  6.5000e-01 
 3.1620e-08  1.2000e+00  3.1620e-08  6.5000e-01 
 3.1720e-08  1.2000e+00  3.1720e-08  6.5000e-01 
 3.1820e-08  1.2000e+00  3.1820e-08  6.5000e-01 
 3.1920e-08  1.2000e+00  3.1920e-08  6.5000e-01 
 3.2020e-08  1.2000e+00  3.2020e-08  6.5000e-01 
 3.2120e-08  1.2000e+00  3.2120e-08  6.5000e-01 
 3.2220e-08  1.2000e+00  3.2220e-08  6.5000e-01 
 3.2320e-08  1.2000e+00  3.2320e-08  6.5000e-01 
 3.2420e-08  1.2000e+00  3.2420e-08  6.5000e-01 
 3.2520e-08  1.2000e+00  3.2520e-08  6.5000e-01 
 3.2620e-08  1.2000e+00  3.2620e-08  6.5000e-01 
 3.2720e-08  1.2000e+00  3.2720e-08  6.5000e-01 
 3.2820e-08  1.2000e+00  3.2820e-08  6.5000e-01 
 3.2920e-08  1.2000e+00  3.2920e-08  6.5000e-01 
 3.3020e-08  1.2000e+00  3.3020e-08  6.5000e-01 
 3.3120e-08  1.2000e+00  3.3120e-08  6.5000e-01 
 3.3220e-08  1.2000e+00  3.3220e-08  6.5000e-01 
 3.3320e-08  1.2000e+00  3.3320e-08  6.5000e-01 
 3.3420e-08  1.2000e+00  3.3420e-08  6.5000e-01 
 3.3520e-08  1.2000e+00  3.3520e-08  6.5000e-01 
 3.3620e-08  1.2000e+00  3.3620e-08  6.5000e-01 
 3.3720e-08  1.2000e+00  3.3720e-08  6.5000e-01 
 3.3820e-08  1.2000e+00  3.3820e-08  6.5000e-01 
 3.3920e-08  1.2000e+00  3.3920e-08  6.5000e-01 
 3.4020e-08  1.2000e+00  3.4020e-08  6.5000e-01 
 3.4120e-08  1.2000e+00  3.4120e-08  6.5000e-01 
 3.4220e-08  1.2000e+00  3.4220e-08  6.5000e-01 
 3.4320e-08  1.2000e+00  3.4320e-08  6.5000e-01 
 3.4420e-08  1.2000e+00  3.4420e-08  6.5000e-01 
 3.4520e-08  1.2000e+00  3.4520e-08  6.5000e-01 
 3.4620e-08  1.2000e+00  3.4620e-08  6.5000e-01 
 3.4720e-08  1.2000e+00  3.4720e-08  6.5000e-01 
 3.4820e-08  1.2000e+00  3.4820e-08  6.5000e-01 
 3.4920e-08  1.2000e+00  3.4920e-08  6.5000e-01 
 3.5020e-08  1.2000e+00  3.5020e-08  6.5000e-01 
 3.5120e-08  1.2000e+00  3.5120e-08  6.5000e-01 
 3.5220e-08  1.2000e+00  3.5220e-08  6.5000e-01 
 3.5320e-08  1.2000e+00  3.5320e-08  6.5000e-01 
 3.5420e-08  1.2000e+00  3.5420e-08  6.5000e-01 
 3.5520e-08  1.2000e+00  3.5520e-08  6.5000e-01 
 3.5620e-08  1.2000e+00  3.5620e-08  6.5000e-01 
 3.5720e-08  1.2000e+00  3.5720e-08  6.5000e-01 
 3.5820e-08  1.2000e+00  3.5820e-08  6.5000e-01 
 3.5920e-08  1.2000e+00  3.5920e-08  6.5000e-01 
