 frequency      v(net29_sense) v(net29_sense) frequency      v(net29_gate)  v(net29_gate) 
 1.5848932e+09  1.3925460e-03  3.7038301e-03  1.5848932e+09  1.0000000e+00  3.2433122e-26 
 1.9952623e+09  1.3431429e-03  2.7144474e-03  1.9952623e+09  1.0000000e+00  2.8953230e-26 
 2.5118864e+09  1.2339446e-03  1.9166498e-03  2.5118864e+09  1.0000000e+00  2.6342655e-26 
 3.1622777e+09  1.0765741e-03  1.2894699e-03  3.1622777e+09  1.0000000e+00  2.4175438e-26 
 3.9810717e+09  8.8883050e-04  8.1781696e-04  3.9810717e+09  1.0000000e+00  2.2088242e-26 
 5.0118723e+09  6.9386153e-04  4.8453010e-04  5.0118723e+09  1.0000000e+00  1.9862545e-26 
 6.3095734e+09  5.1401743e-04  2.6578548e-04  6.3095734e+09  1.0000000e+00  1.7465254e-26 
 7.9432823e+09  3.6408072e-04  1.3290667e-04  7.9432823e+09  1.0000000e+00  1.5005018e-26 
 1.0000000e+10  2.4889898e-04  5.8065888e-05  1.0000000e+10  1.0000000e+00  1.2638322e-26 
 1.2589254e+10  1.6575569e-04  1.8957913e-05  1.2589254e+10  1.0000000e+00  1.0492810e-26 
 1.5848932e+10  1.0837156e-04  1.8979091e-07  1.5848932e+10  1.0000000e+00  8.6384995e-27 
 1.9952623e+10  6.9974503e-05 -7.7444372e-06  1.9952623e+10  1.0000000e+00  7.0943982e-27 
 2.5118864e+10  4.4810278e-05 -1.0259207e-05  2.5118864e+10  1.0000000e+00  5.8473763e-27 
 3.1622777e+10  2.8541740e-05 -1.0257750e-05  3.1622777e+10  1.0000000e+00  4.8693579e-27 
 3.9810717e+10  1.8116611e-05 -9.2210702e-06  3.9810717e+10  1.0000000e+00  4.1287605e-27 
 5.0118723e+10  1.1473727e-05 -7.8675978e-06  5.0118723e+10  1.0000000e+00  3.5968529e-27 
 6.3095734e+10  7.2561294e-06 -6.5233001e-06  6.3095734e+10  1.0000000e+00  3.2508185e-27 
 7.9432823e+10  4.5844862e-06 -5.3194266e-06  7.9432823e+10  1.0000000e+00  3.0750372e-27 
 1.0000000e+11  2.8945851e-06 -4.2946004e-06  1.0000000e+11  1.0000000e+00  3.0615699e-27 
