 time        v(VOUT1)   
 3.3650e-08  3.3951e-03 
 3.3750e-08  3.3951e-03 
 3.3850e-08  3.3951e-03 
 3.3950e-08  3.3951e-03 
 3.4050e-08  3.3951e-03 
 3.4150e-08  3.3951e-03 
 3.4250e-08  3.3951e-03 
 3.4350e-08  3.3951e-03 
 3.4450e-08  3.3951e-03 
 3.4550e-08  3.3951e-03 
 3.4650e-08  3.3951e-03 
 3.4750e-08  3.3951e-03 
 3.4850e-08  3.3951e-03 
 3.4950e-08  3.3951e-03 
 3.5050e-08  3.3951e-03 
 3.5150e-08  3.3951e-03 
 3.5250e-08  3.3951e-03 
 3.5350e-08  3.3951e-03 
 3.5450e-08  3.3951e-03 
 3.5550e-08  3.3951e-03 
 3.5650e-08  3.3951e-03 
 3.5750e-08  3.3951e-03 
 3.5850e-08  3.3951e-03 
 3.5950e-08  3.3951e-03 
 3.6050e-08  3.3951e-03 
 3.6150e-08  3.3951e-03 
 3.6250e-08  3.3951e-03 
 3.6350e-08  3.3951e-03 
 3.6450e-08  3.3951e-03 
 3.6550e-08  3.3951e-03 
 3.6650e-08  3.3951e-03 
 3.6750e-08  3.3951e-03 
 3.6850e-08  3.3951e-03 
 3.6950e-08  3.3951e-03 
 3.7050e-08  3.3951e-03 
 3.7150e-08  3.3951e-03 
 3.7250e-08  3.3951e-03 
 3.7350e-08  3.3951e-03 
 3.7450e-08  3.3951e-03 
 3.7550e-08  3.3951e-03 
 3.7650e-08  3.3951e-03 
 3.7750e-08  3.3951e-03 
 3.7850e-08  3.3951e-03 
 3.7950e-08  3.3951e-03 
 3.8050e-08  3.3951e-03 
 3.8150e-08  3.3951e-03 
 3.8250e-08  3.3951e-03 
 3.8350e-08  3.3951e-03 
 3.8450e-08  3.3951e-03 
 3.8550e-08  3.3951e-03 
 3.8650e-08  3.3951e-03 
 3.8750e-08  3.3951e-03 
 3.8850e-08  3.3951e-03 
 3.8950e-08  3.3951e-03 
 3.9050e-08  3.3951e-03 
 3.9150e-08  3.3951e-03 
 3.9250e-08  3.3951e-03 
 3.9350e-08  3.3951e-03 
 3.9450e-08  3.3951e-03 
 3.9550e-08  3.3951e-03 
 3.9650e-08  3.3951e-03 
 3.9750e-08  3.3951e-03 
 3.9850e-08  3.3951e-03 
 3.9950e-08  3.3951e-03 
 4.0050e-08  3.3951e-03 
 4.0150e-08  3.3951e-03 
 4.0250e-08  3.3951e-03 
 4.0350e-08  3.3951e-03 
 4.0450e-08  3.3951e-03 
 4.0550e-08  3.3951e-03 
 4.0650e-08  3.3951e-03 
 4.0750e-08  3.3951e-03 
 4.0850e-08  3.3951e-03 
 4.0950e-08  3.3951e-03 
 4.1050e-08  3.3951e-03 
 4.1150e-08  3.3951e-03 
 4.1250e-08  3.3951e-03 
 4.1350e-08  3.3951e-03 
 4.1450e-08  3.3951e-03 
 4.1550e-08  3.3951e-03 
 4.1650e-08  3.3951e-03 
 4.1750e-08  3.3951e-03 
 4.1850e-08  3.3951e-03 
 4.1950e-08  3.3951e-03 
 4.2050e-08  3.3951e-03 
 4.2150e-08  3.3951e-03 
 4.2250e-08  3.3951e-03 
 4.2350e-08  3.3951e-03 
 4.2450e-08  3.3951e-03 
 4.2550e-08  3.3951e-03 
 4.2650e-08  3.3951e-03 
 4.2750e-08  3.3951e-03 
 4.2850e-08  3.3951e-03 
